Domain_Entropy,Vowel_Ratio,Domain_Length,Outbound_Conn,Packet_Size,Comm_Time,Non_Std_Ports,Protocol_Type,Distinct_IPs,TLS_Validity,DNS_Query_Rate,User_Agent,Exfil_Indicator,Packet_Frequency,Failed_Connection_Attempts,Traffic_Volume,Response_Time,category
2.519290019,0.287681558,7,15,505,Day,No,HTTP,3,Valid Certificates,6,Standard Agents,No,3,1,138.5102076,26.05334068,Benign
2.909981443,0.292901158,9,13,430,Day,No,HTTPS,3,Valid Certificates,6,Standard Agents,No,6,3,91.98644443,23.78635436,Benign
2.766566207,0.273679975,6,19,447,Day,No,HTTPS,3,Valid Certificates,9,Standard Agents,No,9,1,121.8174138,21.88370111,Benign
2.801279365,0.285730989,9,11,551,Day,No,HTTPS,2,Valid Certificates,3,Standard Agents,No,8,2,148.0900959,27.05303079,Benign
2.774567215,0.276473272,5,13,462,Day,No,HTTPS,3,Valid Certificates,6,Standard Agents,No,6,0,185.1227727,47.38924248,Benign
2.757309027,0.278037062,8,14,450,Day,No,HTTP,3,Valid Certificates,1,Standard Agents,No,8,4,182.2633743,45.87522751,Benign
2.523269869,0.273340034,7,10,552,Day,No,HTTPS,2,Valid Certificates,4,Standard Agents,No,8,4,94.81049562,37.58309743,Benign
2.594007486,0.262602924,6,11,590,Day,No,HTTP,2,Valid Certificates,6,Standard Agents,No,7,0,79.60323975,46.71871673,Benign
2.668769275,0.265233919,5,16,406,Day,No,HTTPS,3,Valid Certificates,5,Standard Agents,No,6,4,96.22355027,49.62051146,Benign
2.645007284,0.288780537,8,11,532,Day,No,HTTPS,3,Valid Certificates,6,Standard Agents,No,8,1,98.02046735,20.52609181,Benign
2.56016406,0.259972803,9,16,542,Day,No,HTTP,3,Valid Certificates,7,Standard Agents,No,6,3,124.9051998,20.1840749,Benign
2.798507005,0.285166986,5,18,597,Day,No,HTTP,2,Valid Certificates,8,Standard Agents,No,9,0,78.73034955,24.00974991,Benign
2.863404234,0.279076608,6,10,408,Day,No,HTTP,2,Valid Certificates,5,Standard Agents,No,5,0,126.10543,43.31469382,Benign
2.891629211,0.288463354,7,11,558,Day,No,HTTPS,2,Valid Certificates,7,Standard Agents,No,6,4,122.8093031,36.71872348,Benign
2.565898367,0.261866702,6,18,580,Day,No,HTTPS,2,Valid Certificates,8,Standard Agents,No,5,3,196.8489526,47.66284879,Benign
2.542882138,0.265075998,6,13,473,Day,No,HTTP,3,Valid Certificates,7,Standard Agents,No,4,3,183.0810498,38.95578755,Benign
2.841955801,0.251090942,9,11,589,Day,No,HTTP,3,Valid Certificates,9,Standard Agents,No,8,4,96.39374678,32.37196169,Benign
2.769062995,0.260360631,5,13,404,Day,No,HTTP,2,Valid Certificates,9,Standard Agents,No,6,3,105.1805613,42.66757688,Benign
2.691080502,0.266082676,8,17,484,Day,No,HTTPS,3,Valid Certificates,5,Standard Agents,No,2,1,154.5534875,35.61163885,Benign
2.629757196,0.29850628,7,15,492,Day,No,HTTP,2,Valid Certificates,1,Standard Agents,No,9,2,91.3222231,48.95920104,Benign
2.678645563,0.250849694,9,12,518,Day,No,HTTP,3,Valid Certificates,5,Standard Agents,No,7,2,140.279804,49.17404344,Benign
2.76158231,0.288518838,9,11,567,Day,No,HTTP,2,Valid Certificates,9,Standard Agents,No,4,3,178.5071286,27.87464343,Benign
2.824022222,0.278308288,6,13,439,Day,No,HTTPS,2,Valid Certificates,4,Standard Agents,No,2,3,198.6679404,36.83022387,Benign
2.768048918,0.257747634,9,15,408,Day,No,HTTP,3,Valid Certificates,6,Standard Agents,No,6,1,178.10884,28.21578804,Benign
2.550890475,0.26755421,6,17,542,Day,No,HTTP,2,Valid Certificates,3,Standard Agents,No,2,0,79.69194027,26.15116693,Benign
2.556087203,0.266623545,6,12,465,Day,No,HTTPS,3,Valid Certificates,8,Standard Agents,No,9,4,190.5710952,35.03458407,Benign
2.715665215,0.286332775,9,15,561,Day,No,HTTPS,3,Valid Certificates,7,Standard Agents,No,1,4,199.9403577,35.8415133,Benign
2.831720094,0.264783733,9,16,494,Day,No,HTTP,3,Valid Certificates,6,Standard Agents,No,9,3,105.4165136,45.90106109,Benign
2.763684414,0.286822201,5,18,489,Day,No,HTTPS,2,Valid Certificates,4,Standard Agents,No,2,1,115.199144,29.66267953,Benign
2.92805835,0.27434373,5,19,427,Day,No,HTTP,3,Valid Certificates,5,Standard Agents,No,1,3,88.26047126,20.13836983,Benign
2.932254536,0.290763872,5,10,492,Day,No,HTTP,3,Valid Certificates,2,Standard Agents,No,1,2,148.7816374,25.67401188,Benign
2.83350977,0.298716014,6,14,514,Day,No,HTTP,3,Valid Certificates,4,Standard Agents,No,7,4,76.1468915,31.86504396,Benign
2.994912864,0.2772228,7,19,560,Day,No,HTTPS,3,Valid Certificates,1,Standard Agents,No,1,1,182.128987,23.98858422,Benign
2.696980053,0.261105568,7,17,560,Day,No,HTTPS,2,Valid Certificates,6,Standard Agents,No,8,4,79.0875393,43.69745881,LockBit
2.992379658,0.282538565,8,11,483,Day,No,HTTPS,2,Valid Certificates,7,Standard Agents,No,7,3,184.1397567,37.200723,Benign
2.719559056,0.251006929,5,12,546,Day,No,HTTP,3,Valid Certificates,1,Standard Agents,No,7,1,56.94392969,35.61646997,Benign
2.645634903,0.278049786,7,15,436,Day,No,HTTPS,3,Valid Certificates,1,Standard Agents,No,1,1,126.7006039,33.35979639,Benign
2.68149886,0.256905985,9,17,541,Day,No,HTTPS,2,Valid Certificates,8,Standard Agents,No,2,4,195.2895667,29.70712002,Benign
2.653330875,0.256948024,8,14,482,Day,No,HTTP,3,Valid Certificates,5,Standard Agents,No,7,1,148.3224559,22.62930465,Benign
2.606696525,0.258047733,6,13,523,Day,No,HTTP,2,Valid Certificates,9,Standard Agents,No,7,0,59.38434913,38.6089521,Benign
2.937431231,0.276428113,9,18,423,Day,No,HTTP,3,Valid Certificates,3,Standard Agents,No,7,3,96.93650284,26.46498444,Benign
2.977300579,0.278184703,6,17,410,Day,No,HTTP,3,Valid Certificates,2,Standard Agents,No,9,0,171.4493452,47.2950388,Benign
2.712291065,0.298787132,7,16,469,Day,No,HTTP,3,Valid Certificates,2,Standard Agents,No,3,4,136.1629026,32.84221727,Benign
2.887117227,0.269225088,8,13,562,Day,No,HTTPS,2,Valid Certificates,5,Standard Agents,No,5,4,55.16385174,22.38048418,Benign
2.582661074,0.270831009,6,11,541,Day,No,HTTPS,2,Valid Certificates,5,Standard Agents,No,2,0,149.3502087,44.98270815,Benign
2.789275265,0.289020155,5,14,569,Day,No,HTTPS,2,Valid Certificates,4,Standard Agents,No,6,0,132.4361785,24.26542995,Benign
2.894365135,0.275587958,7,19,550,Day,No,HTTP,2,Valid Certificates,4,Standard Agents,No,5,2,71.89231502,37.98712529,Benign
2.779398614,0.265314942,8,13,430,Day,No,HTTPS,3,Valid Certificates,5,Standard Agents,No,7,0,151.9213717,27.02616736,Benign
2.934056259,0.278287365,6,19,476,Day,No,HTTP,2,Valid Certificates,7,Standard Agents,No,5,2,59.70406801,28.3989894,Benign
2.942944517,0.290118405,6,12,486,Day,No,HTTPS,3,Valid Certificates,5,Standard Agents,No,5,2,191.2307187,32.90100308,Benign
2.660910574,0.271773442,9,12,402,Day,No,HTTP,3,Valid Certificates,6,Standard Agents,No,1,3,71.58138298,29.27023566,Benign
2.627850748,0.289219932,8,15,510,Day,No,HTTPS,3,Valid Certificates,4,Standard Agents,No,2,1,198.9717692,39.57065698,Benign
2.574792338,0.256224596,7,13,499,Day,No,HTTPS,3,Valid Certificates,9,Standard Agents,No,2,2,172.3936773,45.39763927,Benign
2.521043544,0.254925424,7,10,432,Day,No,HTTP,2,Valid Certificates,2,Standard Agents,No,8,4,90.97983732,45.38436111,Benign
2.747806391,0.251989949,9,12,504,Day,No,HTTPS,2,Valid Certificates,7,Standard Agents,No,3,3,165.367055,27.09569556,Benign
2.602222877,0.267762634,9,18,435,Day,No,HTTP,3,Valid Certificates,9,Standard Agents,No,4,1,181.3747732,46.70763519,Benign
2.683918958,0.256208632,8,19,561,Day,No,HTTPS,2,Valid Certificates,1,Standard Agents,No,9,3,95.30742292,34.47984724,Benign
2.935313862,0.299167814,6,18,581,Day,No,HTTP,3,Valid Certificates,2,Standard Agents,No,8,0,150.3197305,46.54496486,Benign
2.967400033,0.280734154,6,19,543,Day,No,HTTPS,2,Valid Certificates,4,Standard Agents,No,1,2,66.04241834,26.28029958,Benign
2.5599316,0.281984901,9,15,482,Day,No,HTTP,3,Valid Certificates,7,Standard Agents,No,4,1,145.692363,37.55259327,Benign
2.804121782,0.29034376,9,14,543,Day,No,HTTPS,3,Valid Certificates,4,Standard Agents,No,2,2,150.3317667,40.69383945,Benign
2.843978216,0.27409146,8,17,598,Day,No,HTTP,3,Valid Certificates,8,Standard Agents,No,4,1,64.00676122,38.74345338,Benign
2.874474125,0.275694354,9,13,458,Day,No,HTTPS,3,Valid Certificates,1,Standard Agents,No,9,2,69.54588335,33.11880746,Benign
2.599310269,0.252603279,5,17,464,Day,No,HTTP,2,Valid Certificates,8,Standard Agents,No,2,4,138.9735033,44.58835734,Benign
2.50459825,0.264660703,6,17,507,Day,No,HTTPS,3,Valid Certificates,8,Standard Agents,No,7,1,197.0777715,41.10186784,Benign
2.968830577,0.253689564,5,10,506,Day,No,HTTPS,3,Valid Certificates,9,Standard Agents,No,6,1,121.8083456,33.06290819,Benign
2.940865259,0.267752186,9,13,427,Day,No,HTTP,2,Valid Certificates,2,Standard Agents,No,5,2,127.2948634,32.53011812,Benign
2.697725024,0.267128558,8,15,584,Day,No,HTTPS,3,Valid Certificates,8,Standard Agents,No,6,1,170.5936775,23.69473524,Benign
2.541552043,0.28344137,5,17,514,Day,No,HTTPS,3,Valid Certificates,8,Standard Agents,No,3,1,197.7842724,48.7253415,Benign
2.821492387,0.296703607,8,14,565,Day,No,HTTPS,2,Valid Certificates,3,Standard Agents,No,8,2,140.3783607,41.07017197,Benign
2.766111894,0.275724408,7,15,504,Day,No,HTTP,3,Valid Certificates,3,Standard Agents,No,1,1,70.90787403,25.49104304,Benign
2.825735599,0.287174183,7,12,542,Day,No,HTTP,2,Valid Certificates,5,Standard Agents,No,5,1,146.6789275,38.30249401,Benign
2.712371899,0.26117496,6,18,579,Day,No,HTTP,3,Valid Certificates,1,Standard Agents,No,1,3,96.84872433,37.93684706,Benign
2.843953515,0.25547876,6,13,597,Day,No,HTTP,2,Valid Certificates,2,Standard Agents,No,8,0,66.53780812,39.3444556,Benign
2.672099696,0.268840071,5,19,595,Day,No,HTTP,2,Valid Certificates,2,Standard Agents,No,8,0,116.0050862,22.64267661,BlackCat
2.698102908,0.278372237,5,13,539,Day,No,HTTPS,2,Valid Certificates,9,Standard Agents,No,1,0,152.2680203,30.16256037,Benign
2.871460941,0.27382601,6,14,444,Day,No,HTTP,2,Valid Certificates,5,Standard Agents,No,9,3,90.48165597,45.27577167,Benign
2.977893793,0.287191662,7,13,415,Day,No,HTTPS,2,Valid Certificates,8,Standard Agents,No,7,1,78.13114793,23.29095903,Benign
2.838254308,0.267060247,5,18,457,Day,No,HTTP,3,Valid Certificates,1,Standard Agents,No,9,2,75.43641617,28.7801597,Benign
2.550753217,0.296166218,5,18,591,Day,No,HTTP,3,Valid Certificates,6,Standard Agents,No,5,4,105.0170355,28.35486023,Benign
2.608838655,0.264127349,6,19,448,Day,No,HTTPS,3,Valid Certificates,8,Standard Agents,No,9,2,135.532083,31.62053593,Benign
2.896359019,0.278894994,5,11,544,Day,No,HTTP,3,Valid Certificates,2,Standard Agents,No,7,2,109.5143842,49.61955111,Benign
2.719250914,0.270488122,8,16,482,Day,No,HTTP,2,Valid Certificates,4,Standard Agents,No,6,3,90.6912802,35.84040144,Benign
2.970458763,0.297381616,5,18,456,Day,No,HTTP,2,Valid Certificates,8,Standard Agents,No,3,2,174.5637566,21.53594725,Benign
2.657576497,0.259529277,6,16,558,Day,No,HTTPS,3,Valid Certificates,4,Standard Agents,No,7,3,106.9666911,39.42581695,Benign
2.898777958,0.26649205,8,18,465,Day,No,HTTPS,3,Valid Certificates,6,Standard Agents,No,8,1,147.5949946,29.66812136,Benign
2.593926576,0.271078585,7,17,496,Day,No,HTTP,3,Valid Certificates,1,Standard Agents,No,6,2,163.4930836,29.40088243,Benign
2.560267237,0.254195162,8,19,562,Day,No,HTTP,2,Valid Certificates,2,Standard Agents,No,1,3,87.1630627,44.60050352,Benign
2.610956753,0.269035243,9,15,452,Day,No,HTTP,2,Valid Certificates,2,Standard Agents,No,2,3,157.7762978,24.11811636,Benign
2.915491731,0.258984726,6,19,470,Day,No,HTTP,2,Valid Certificates,8,Standard Agents,No,4,0,70.34458747,41.45802767,Benign
2.975946676,0.285781267,8,10,463,Day,No,HTTP,3,Valid Certificates,7,Standard Agents,No,1,1,52.39318773,26.74561418,Benign
2.974927217,0.274668632,9,11,426,Day,No,HTTPS,3,Valid Certificates,9,Standard Agents,No,9,0,75.61550171,47.69696316,Benign
2.845151594,0.268420746,5,16,421,Day,No,HTTP,3,Valid Certificates,5,Standard Agents,No,4,3,110.477671,38.73587005,Benign
2.579892007,0.284264344,7,17,418,Day,No,HTTP,3,Valid Certificates,9,Standard Agents,No,8,1,70.09299514,23.99190024,Play Ransomware
2.98357852,0.289558419,8,10,553,Day,No,HTTPS,3,Valid Certificates,1,Standard Agents,No,4,4,71.17033144,40.03745722,Benign
2.798366123,0.263073566,5,14,411,Day,No,HTTPS,2,Valid Certificates,6,Standard Agents,No,5,2,64.37565875,37.38241386,Benign
2.57527465,0.272383746,5,15,513,Day,No,HTTPS,2,Valid Certificates,2,Standard Agents,No,2,3,126.3066337,29.88144377,Benign
2.636015777,0.258734568,8,16,572,Day,No,HTTPS,2,Valid Certificates,1,Standard Agents,No,5,0,79.69210699,35.91196562,Benign
2.537864657,0.291837756,8,14,454,Day,No,HTTPS,2,Valid Certificates,1,Standard Agents,No,8,0,145.0538579,30.61764158,Benign
2.595237172,0.271471423,8,13,492,Day,No,HTTPS,3,Valid Certificates,8,Standard Agents,No,2,0,145.0728722,22.1985504,Benign
2.624953078,0.252538109,5,19,574,Day,No,HTTPS,3,Valid Certificates,8,Standard Agents,No,5,1,123.2052268,26.48143942,Benign
2.823369481,0.265781466,6,19,535,Day,No,HTTPS,2,Valid Certificates,4,Standard Agents,No,9,4,128.0904027,20.3287296,Benign
2.736539164,0.283317589,5,14,584,Day,No,HTTP,3,Valid Certificates,4,Standard Agents,No,5,2,91.49557095,22.13004053,Benign
2.527594557,0.250639769,8,16,479,Day,No,HTTP,2,Valid Certificates,4,Standard Agents,No,8,4,196.1712946,21.48430904,Benign
2.684581956,0.289169059,8,12,434,Day,No,HTTPS,2,Valid Certificates,4,Standard Agents,No,3,1,179.342826,36.39606082,Benign
2.727359531,0.282601479,5,18,550,Day,No,HTTPS,3,Valid Certificates,6,Standard Agents,No,7,3,174.8916955,44.57787006,Benign
2.976968434,0.267785182,9,18,457,Day,No,HTTPS,3,Valid Certificates,8,Standard Agents,No,8,1,198.8819307,24.60192862,Benign
2.513530584,0.274298901,7,19,571,Day,No,HTTPS,3,Valid Certificates,6,Standard Agents,No,7,0,189.5007648,33.47340868,Benign
2.746294553,0.282568797,7,11,590,Day,No,HTTP,2,Valid Certificates,8,Standard Agents,No,7,1,93.31242142,32.26380281,Benign
2.961934465,0.269308373,6,17,420,Day,No,HTTP,2,Valid Certificates,1,Standard Agents,No,7,3,108.2787421,26.69868311,Benign
2.999716543,0.270214142,9,16,453,Day,No,HTTP,3,Valid Certificates,3,Standard Agents,No,4,4,127.7632407,41.97264137,Benign
2.553587308,0.277273218,5,12,570,Day,No,HTTP,3,Valid Certificates,1,Standard Agents,No,5,4,197.7607043,49.2332854,Benign
2.601793994,0.255311441,7,16,481,Day,No,HTTP,2,Valid Certificates,1,Standard Agents,No,8,4,179.2790682,30.95606877,Benign
2.590920838,0.29524,6,14,482,Day,No,HTTP,2,Valid Certificates,3,Standard Agents,No,2,2,182.8329365,35.83510678,Benign
2.711455581,0.266697548,7,14,480,Day,No,HTTPS,2,Valid Certificates,5,Standard Agents,No,2,2,136.1899188,33.28433111,Benign
2.634005414,0.259673723,9,11,536,Day,No,HTTP,3,Valid Certificates,2,Standard Agents,No,3,3,116.9472118,23.86044848,Benign
2.915181071,0.278308784,5,15,521,Day,No,HTTPS,3,Valid Certificates,8,Standard Agents,No,1,0,91.16858382,31.54469116,Benign
2.699020041,0.287517343,5,19,595,Day,No,HTTPS,2,Valid Certificates,8,Standard Agents,No,4,4,185.8308392,44.72464584,BlackCat
2.743026254,0.280700465,7,15,532,Day,No,HTTPS,3,Valid Certificates,5,Standard Agents,No,2,3,79.12279585,38.42671247,Benign
2.800569269,0.292773233,5,10,590,Day,No,HTTP,2,Valid Certificates,4,Standard Agents,No,7,4,52.55051853,37.34962786,Benign
2.994224639,0.250532778,9,17,529,Day,No,HTTPS,2,Valid Certificates,8,Standard Agents,No,7,0,186.2524094,42.30028855,Benign
2.668924211,0.282093998,5,19,432,Day,No,HTTPS,3,Valid Certificates,5,Standard Agents,No,8,2,120.7529597,24.44295333,Benign
2.856161645,0.287723503,5,12,511,Day,No,HTTP,2,Valid Certificates,8,Standard Agents,No,6,2,97.23547953,27.36594988,Benign
2.639939249,0.254976353,9,16,417,Day,No,HTTPS,3,Valid Certificates,9,Standard Agents,No,4,4,172.7401062,36.60444846,Benign
2.750953484,0.262203512,9,10,566,Day,No,HTTP,3,Valid Certificates,6,Standard Agents,No,4,3,54.94589974,34.48098833,Benign
2.789182755,0.266733697,7,18,458,Day,No,HTTP,2,Valid Certificates,1,Standard Agents,No,7,4,96.75783149,45.21644457,Benign
2.802382633,0.294502968,8,15,401,Day,No,HTTP,3,Valid Certificates,1,Standard Agents,No,1,4,153.2013623,27.31748766,Benign
2.538486344,0.294215038,6,16,514,Day,No,HTTPS,2,Valid Certificates,7,Standard Agents,No,2,0,100.7834521,20.5052072,Benign
2.942974527,0.260457752,7,12,554,Day,No,HTTP,2,Valid Certificates,2,Standard Agents,No,8,2,142.671675,47.00810936,Benign
2.874457845,0.282641186,7,13,545,Day,No,HTTPS,2,Valid Certificates,1,Standard Agents,No,9,1,199.2480558,20.28993884,Benign
2.618949773,0.297356814,8,18,444,Day,No,HTTP,2,Valid Certificates,3,Standard Agents,No,9,2,187.0348819,34.61678072,Benign
2.503476402,0.261753963,9,19,484,Day,No,HTTP,2,Valid Certificates,6,Standard Agents,No,4,1,199.1746348,33.67158266,Benign
2.939671793,0.262769678,9,13,577,Day,No,HTTPS,3,Valid Certificates,4,Standard Agents,No,6,0,91.68315521,41.06934946,Benign
2.823528017,0.252502123,6,14,549,Day,No,HTTPS,2,Valid Certificates,3,Standard Agents,No,3,4,69.58499477,37.04841111,Benign
2.501654225,0.269992983,8,18,589,Day,No,HTTPS,2,Valid Certificates,6,Standard Agents,No,5,4,92.99134983,21.33866206,Benign
2.641300028,0.250591631,7,19,518,Day,No,HTTPS,2,Valid Certificates,3,Standard Agents,No,2,0,123.9269091,47.55627799,Benign
2.543515811,0.262265266,7,14,596,Day,No,HTTPS,3,Valid Certificates,8,Standard Agents,No,2,3,115.5563111,37.09241998,Benign
2.763529357,0.26571766,9,11,431,Day,No,HTTPS,2,Valid Certificates,8,Standard Agents,No,7,1,199.6958218,20.49968074,Benign
2.721335499,0.267928298,8,13,530,Day,No,HTTP,3,Valid Certificates,3,Standard Agents,No,2,1,54.56486703,26.91535197,Benign
2.827749163,0.289070024,7,10,533,Day,No,HTTPS,2,Valid Certificates,8,Standard Agents,No,2,1,128.0889806,46.39161146,Benign
2.650822052,0.264982165,5,13,578,Day,No,HTTPS,3,Valid Certificates,8,Standard Agents,No,6,2,181.409016,32.02204974,Benign
2.58099935,0.257732691,6,12,436,Day,No,HTTPS,3,Valid Certificates,8,Standard Agents,No,3,2,195.6403259,35.72723537,Benign
2.7322482,0.297919981,7,13,501,Day,No,HTTPS,2,Valid Certificates,5,Standard Agents,No,8,3,126.9230638,34.3365879,Benign
2.528842718,0.276288664,9,11,587,Day,No,HTTPS,3,Valid Certificates,2,Standard Agents,No,1,1,153.8629028,26.69767589,Benign
2.647816814,0.25883594,7,13,415,Day,No,HTTPS,2,Valid Certificates,1,Standard Agents,No,6,1,151.4401816,45.7321459,Benign
2.584866674,0.269674608,8,14,522,Day,No,HTTPS,2,Valid Certificates,3,Standard Agents,No,4,2,177.5453216,30.40786585,Benign
